Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_3_Replicate_22	-5287.39	10580.78	10334.52	282770.58	4.4716,0.0534,0.0334
bottlegrowth	Round_3_Replicate_23	-7883.66	15773.32	15127.94	266890.44	5.4347,0.1651,0.1447
bottlegrowth	Round_3_Replicate_24	-5457.35	10920.7	10622.17	276356.44	2.6785,0.0741,0.0432
bottlegrowth	Round_3_Replicate_25	-11169.27	22344.54	21817.64	330134.25	28.1311,0.138,0.0588
bottlegrowth	Round_3_Replicate_26	-5517.89	11041.78	10691.58	272325.64	2.1927,0.0748,0.0383
bottlegrowth	Round_3_Replicate_27	-5883.75	11773.5	11451.17	276803.05	8.1503,0.0882,0.069
bottlegrowth	Round_3_Replicate_28	-5292.56	10591.12	10302.22	276576.62	4.477,0.0641,0.0399
bottlegrowth	Round_3_Replicate_29	-5982.58	11971.16	11596.3	273122.4	4.1928,0.0952,0.0638
bottlegrowth	Round_3_Replicate_30	-5268.1	10542.2	10280.83	279329.96	1.88,0.0642,0.035
bottlegrowth	Round_3_Replicate_31	-8019.0	16044.0	15626.82	276803.59	6.3391,0.1662,0.1887
bottlegrowth	Round_3_Replicate_32	-6579.53	13165.06	12847.38	277905.36	15.9729,0.1204,0.1423
bottlegrowth	Round_3_Replicate_33	-7973.14	15952.28	15361.76	270666.44	4.1695,0.1651,0.1371
bottlegrowth	Round_3_Replicate_34	-19605.06	39216.12	39118.12	5738182.86	8.0321,0.0154,0.3895
bottlegrowth	Round_3_Replicate_35	-5471.43	10948.86	10687.43	280909.66	5.5998,0.0666,0.0464
bottlegrowth	Round_3_Replicate_36	-4458.0	8922.0	8669.01	275665.64	1.29,0.0333,0.0154
bottlegrowth	Round_3_Replicate_37	-9118.48	18242.96	17993.71	341795.63	22.2862,0.0464,0.0177
bottlegrowth	Round_3_Replicate_38	-5694.29	11394.58	11027.62	272112.43	2.7932,0.0817,0.0455
